,Unnamed: 0,Datetime,Tweet Id,Text,Username
31,31,2019-09-20 22:46:28+00:00,1175179446753488896,Iya ntar tugas mulia kita buat menyehatkan masyarakat terhalang KUHP Nice,pratiwirani10
32,32,2019-09-20 22:44:17+00:00,1175178896351711232,RUU KPK sudah ketok palu jadi UU KPK RUU KUHP ditunda karena niatan menjadi negara otoriternya terlalu kuat khawatir penentangan rakyat akan masiv RUU pas ditunda besok senin Semua harus kawal terus kedua RUU itu,2Wawanhf
33,33,2019-09-20 22:43:55+00:00,1175178804320333825,Jangan di tunda pengesahannya saja minta tolong sekali ruu KUHP nya juga di revisi,Jessica21528432
34,34,2019-09-20 22:42:45+00:00,1175178509431398400,Halo pasal 504 KUHP,sociolobeast
35,35,2019-09-20 22:41:55+00:00,1175178303012888576,Badai dan goncangan bgt dahsyat sblm pelantikan mulai dr kasus papua karhutla hingga kpk dan ruu kuhp Salah sedikit sj dlm menahkodai bahtera NKRI bisa pecah n tnggelam Tp sy yakin pak mampu mmbawa kita semua melewati masa2 kritis ini dg selamat,msafiimu
36,36,2019-09-20 22:35:38+00:00,1175176720736911360,meh tak tuntut KUHP,riiizkydwi
37,37,2019-09-20 22:34:54+00:00,1175176537621946368,RUU KUHP ditunda Lega sedikit Mall tdk jadi tutup krn wanita berani kerja pulang malam tdk takut ditangkap Korban pemerkosaan dan terpaksa aborsi tdk dipenjara Yg main petak umpet sementara aman2 saja dari razia hahaha,MHendratmoko
38,38,2019-09-20 22:30:11+00:00,1175175346766794752,Jokowi Minta RUU KUHP Didalami Dulu Termasuk Pasal Zina Jokowi meminta pengesa,galxxs
39,39,2019-09-20 22:15:40+00:00,1175171694895349760,zuhrii Yang ngusulin RUU KUHP itu DPR sebagai lembaga legislatif ya itu kerjaan mereka Presiden sebagai eksekutif tinggal meninjau dan meresmikan Gimana,aldyfrn
40,40,2019-09-20 22:12:54+00:00,1175170998850576384,Salah satu Prof Hukum Pidana yg saya kagumin walau beda almamater Kalo pada sok2 lebih jago ngomongin KUHP psn saya belajar yg banyak dulu nak,danangmantri
41,41,2019-09-20 22:12:46+00:00,1175170967145893888,Kamu bikin tweet sprti ino bisa kena pasal KUHP lho Be Carefull Indonesia,warganett_
42,42,2019-09-20 22:12:06+00:00,1175170797238775808,banyak pak ben iki lagi piye nih wakil e mbah mbah Ma ruf Amin Surati DPR Minta RUU KUHP Segera Disahkan,samransimbolon
43,43,2019-09-20 22:11:12+00:00,1175170572390502400,Setahu saya RUU KUHP ini dimasukkan oleh MenkumHAM era SBY di 2013 Tetapi krn keterbatasan waktu menjelang Pemilu 2014 ditunda agar dibahas di periode berikutnya Tetapi benar seharusnya ditolak ditarik kembali sejak awal oleh Pemerintah yg skrg kalo emg ingin dikoreksi,uyaboira
44,44,2019-09-20 22:08:22+00:00,1175169857957974016,Pesan saya untuk Pak Batalkan bukan ditunda Ajak DPR untuk memperbaiki mulai dari awal Cita cita memiliki KUHP Nasional yg maju dan berkeadilan bagi seluruh rakyat Indonesia itu sudah puluhan tahun lamanya,uyaboira
45,45,2019-09-20 22:06:58+00:00,1175169504906579970,1701 didu Hati2 kuhp baru klo dah disahkan He he he,Cahyono_100
46,46,2019-09-20 22:06:32+00:00,1175169396790005760,Maaf pak alhamdulilah ditunda untuk evaluasi dan pencermatan masukan dari rakyat dan para ahli supaya KUHP yang di syahkan benar2 valid kedepannya amin,iskandar_kaboel
47,47,2019-09-20 22:02:39+00:00,1175168419659837441,Maaf pak mohon ruu KUHP ditunda ini perlu pencematan yang serius alangkah baiknya pembahasan dilanjurkan setelah tahun mendatang agar mendapatkan KUHP yang palit lanjutkan kerja kerja buat rakyat,iskandar_kaboel
