,Datetime,Tweet Id,Text,Username,Label,Lang
31,2023-04-06 23:10:57+00:00,1644115504309874688,"@OposisiCerdas Main SEAGAMES itu biasa bong.
Itu agendanya negara Se Asia bukan agendanya FIFA. 

Yg pasti dengan sanksi tsb Indonesia jgn ngarep dpt kesempatan jafi tuan rumah piala dunia. Mau pildun 15 17 dll.
Gak bakalan direstui FIFA",123ardhan,,
32,2023-04-06 23:10:24+00:00,1644115367550390273,@Dazzzzzaii @idextratime Kapan fifa ngejegal Rusia?,yw_w94,,
33,2023-04-06 23:09:57+00:00,1644115254920744961,@idextratime Ada fifa forward selama ini https://t.co/RU64UCcoqz,adnanrachman,,
34,2023-04-06 23:08:58+00:00,1644115007817551872,@OposisiCerdas Klo di banned Kan yang Rugi Fifa sendiri 😁,ALsupriadi01,,
35,2023-04-06 23:08:09+00:00,1644114802120491011,"@EndarTo44857464 @BabangJag00 @ganjarpranowo @jokowi Betul sekali, FIFA sendiri juga berpolitik, membanned Russia juga karena politik, dan dengan kejadian penyerangan Israel ke laga liga Palestina baru-baru ini apakah FIFA akan membanned Israel? Keputusan ini juga politik.. https://t.co/ERnPUQ0r53",BangkitRhd91,,
36,2023-04-06 23:06:48+00:00,1644114462570422273,@obito2020danzo @PSSI Kenapa FIFA harus mendengar pendapat segelintir orang?diluar sana juga banyak dukungan utk israel bahkan palestina sendiri tdk pernah nenolak. FIFA TIDAK BISA DI INTERVENSI,bunda_gil,,
37,2023-04-06 23:05:27+00:00,1644114122596929536,@WatchGamesTV  fifa match nw ..no bollas,Mostafa14459832,,
38,2023-04-06 23:00:31+00:00,1644112881615609856,@TeamCR7ID @idextratime Maroko dengan pemain keturunannya nangkring di posisi 11 gilaa kalo Indonesia full pemain keturunan bisa kali 50 besar FIFA dan ikut piala dunia,RohmanRomie,,
39,2023-04-06 22:59:47+00:00,1644112694822453251,"@idextratime Iya hanya kartu kuning aja,soalnya indonesia tuh market terbesar fifa https://t.co/sflRbcHLHe",fresty99,,
40,2023-04-06 22:57:52+00:00,1644112211504250883,"@MCAOps Masih sulit rasanya move on Indonesia batal jadi tuan rumah pildun U20, karena FIFA membatalkan. Akibat ulah 
oknum oknum menolak kehadiran Israel demi mendukung Pakestina.😒",Gr4sssss,,
41,2023-04-06 22:56:13+00:00,1644111798998827009,@VIVAcoid Sekalian dong caci maki FIFA,agus_setya,,
42,2023-04-06 22:54:22+00:00,1644111330914304001,@Yoose03 Sur fifa,AL_gkmc,,
43,2023-04-06 22:54:20+00:00,1644111322483933184,"@iyyoon @flaminul @idextratime Ya memang goblok sih.

Import atau lokal itu gapenting. Yang penting kualitasnya.

Itu ada Thariq Alkatiri yang udah bolak balik ngikut match2 FIFA aja gk kepake.",aestethread,,
44,2023-04-06 22:54:05+00:00,1644111261981110274,"@idextratime Kebiadaban pejabat, kalau ada apa2 mainnya ngelobi, tapi gak sadar yg dihadapi siapa, dikira FIFA bakalan gampang dilobi apa ya https://t.co/6NmDpFG5FH",YareY4r3Daze,,
45,2023-04-06 22:52:32+00:00,1644110870505504768,@idextratime Ga apa² uang yg dr FIFA masih ada kan?bekas pasca kanjuruhan itu. 😄,dinata_tuslan,,
