,Datetime,Tweet Id,Text,Username,Label,Lang
22,2023-03-27 23:45:51+00:00,1640500410392915968,"@Dennysiregar7 Ganjar menolak tim Israel itu berdasarkan amanat partainya.. Sbnarnya sya setuju klo pd u 20 diselenggarakan di Indonesia..tp apa boleh buat FiFA trlanjur memilih Peru..Y gigit jarilah &amp; skrg PKS tertawa sembari kentut.. 🤭
#FahamiMaslahnyaJanganBaper",putucangkiriku,,
23,2023-03-27 23:45:29+00:00,1640500318885777408,"@RedSaesar @idextratime Kata siapa bang? Kayak liga indo sesuai jadwal fifa aja. Orang biasanya juga suka² buat aturan sendiri. Dikit² jeda, dikit² kongres, 🤣
Klo di banded tinggal buat turnamen piala kayu lagi. 🤣
https://t.co/ZDXvPLe9y9",sudarman1912,,
24,2023-03-27 23:44:00+00:00,1640499944242167812,"@idextratime Official song sudah d hapus dari FIFA world cup Instagram , pertanda batal PD d Indonesia",yourheadkui,,
25,2023-03-27 23:43:46+00:00,1640499887111569408,"@Adi_8002 Bkn sok2an bela negara lain bung!!, Ini kan konsekwensi rakyat Indonesia melaksanakan UUD 45 apapun imbasnya ga masalah, justru FIFA yg tdk konsekwen, rusia yg baru setahun serang Ukraine ditolak ikut piala dunia, sementara Zionis Israel menjajah Palestine berpuluh thn😓",MochIdrus8,,
26,2023-03-27 23:43:34+00:00,1640499836947664896,@FaktaSepakbola @mohmahfudmd Iya udah tinggal mundur dari fifa ga udah ada sepak bola 😅,Febregass5,,
27,2023-03-27 23:42:33+00:00,1640499581510385669,"@FaktaSepakbola Misal pun jadi di Indonesia, gw yakin gabakal kondusif dan fair play saat israel main. Keputusan fifa tepat buat ganti tuan rumah, ego orang Indonesia ga bisa di bendung, untung di unjukin pas awal. Nantinya nama Indonesia makin jelek dimata sepak bola dunia, jika jadi tuan rumah",janganhalumulu,,
28,2023-03-27 23:41:56+00:00,1640499426052702208,"@machfudin @Miduk17 @Iwan70703644 Betul Rusia tuan rumah, cuman evennya beda Piala Putin jd gak masuk kalender FIFA, kalau pipa mungkin ya gini kalau bacanya online *elo** pasti misinformasi cenderung hoax, bsk komen lagi woiii Indonesia msk pildun mars, lha tmbh aneh to",Panji0451,,
29,2023-03-27 23:41:47+00:00,1640499388220071937,@Bolanet Lebih baik FIFA tegas batalkan saja Indonesia jadi Tuan Rumah Piala Dunia U20...dan kita lihat bagaimana usaha2 para penolak Israel untuk menyelamatkan banyak generasinya yang akan jadi pengangguran!!!!,PeterApituley,,
30,2023-03-27 23:41:38+00:00,1640499347535314944,"@idextratime Bayangin aja, klub liga 1 aja bertanding 135 orang yg mati, gimana kalo piala dunia dg penolakan thd israel ???
FIFA ga bakal ngambil resiko sebesar itu",hsubhan,,
31,2023-03-27 23:40:48+00:00,1640499139535585280,"@idextratime @detikcom Indonesia vs FIFA,,,,,, baru di ancam FIFA pemuja zionis langsung ketar ketir,,,,, GIMANA kalau perang lawan Australia...... MENTAL ayam sayur.....😂😂😂",kancil_89,,
32,2023-03-27 23:40:37+00:00,1640499091481427968,"@Ekagud1 @SakitPe14248653 @Adi_8002 Yg standar ganda itu FIFA, aturan nya bisa melakukan pencoret Rusia ikut serta piala dunia di Qatar, tetapi kenapa pada zionis Israel FIFA tidak mencoret zionis Israel ikut piala dunia u-20... Yg mana sampai sekarang ini zionis Israel masih menginvasi palestina..",nepriadi74,,
33,2023-03-27 23:39:26+00:00,1640498795254521856,"@Adi_8002 Kalau Indonesia tdk bs berkompetisi dlm setiap event FIFA,siapa yang di untungkan? Maka jangan harap ada pelatih profesional mau di ajak melatih di Indonesia dan STY juga sudah resah dan nanti buka cabor baru namanya ""sepak mulut""karena banyak bicara tapi merugikan Indonesia.",arya_dhena,,
34,2023-03-27 23:39:21+00:00,1640498776350789632,"@yarachantique @jokowi Matamu !
Sok Sokan nolak ujung ujung e lempar golok sembunyi tangan

Pak presiden sudah lobi FIFA jauh jauh tahun sebelum tahun ini
Tim bidding kerja pagi siang malem hasil e cuma penolakan dari partai mu , gubernur Kok ga tau diri !",yourheadkui,,
35,2023-03-27 23:39:01+00:00,1640498691365834754,"@ekowboy2 nolak Israel karena Palestina tapi indo yang di banned,dan kedua negara aman"" saja di FIFA😂kalo batal yang malu dan yang rugi indo juga!?",TafrichanYusuf,,
36,2023-03-27 23:38:35+00:00,1640498582620094464,"@noroomworldwide @idextratime @detikcom HALAAAAAH SAMA FIFA AJAH KETAR KETIR,,,,,,, GIMANA PERANG LAWAN MALAYASIA......... MENTAL AYAM SAYUR.....",kancil_89,,
37,2023-03-27 23:37:42+00:00,1640498357855748097,@beautyofpanenka @The_RedsIndo Mimpi ngikuti standar ganda fifa?,S3goM,,
38,2023-03-27 23:37:28+00:00,1640498300171485184,"@mohmahfudmd Pemerintah indonesia hrus tegas terhadap para kadrun,pak jokowi masih banyak rakyat ondonesia yg cinta sepak bola,jadi klu pemerinta suam2 kuku alias kurang tegas terhadap para kadrun2 ini dampaknya kt akan d ben dlm semua agenda FIFA.",Sare34A,,
39,2023-03-27 23:36:59+00:00,1640498177626497025,"Hai FIFA world kau masukkan masalah politik didalam sepakbola dunia dan Indonesia, masalah Israel dan Palestina kau masukkan masalah sepakbola kedalam dunia politik.
#Stopfifadontbringpoliticsintofootball
#Stopfifajanganbawabawapolitikdidalamsepakbola",MughniIlmi,,
40,2023-03-27 23:36:31+00:00,1640498063365271552,"@pengarang_sajak Kalo gw kok beda ya, gak mengharap FIFA lanjutkan drawing &amp; venue di Ind. Kalo ga tegas ya hrs siap dgn konsekwensinya, dicabut dr keanggotaan FIFA. Kita lihat aja apa FIFA &amp; dunia sepakbola rugi kehilangan Ind yg sdh 5 X masuk final Piala dunia &amp; 3x semifinalis piala eropa",WardhanaAndre,,
41,2023-03-27 23:35:33+00:00,1640497818682130432,@mohmahfudmd FIFA yang butuh Indonesia atau Indonesia yang butuh FIFA? kok rasanya gampang banget ngatur FIFA?,bunda_gil,,
42,2023-03-27 23:35:26+00:00,1640497787161956352,"@Adi_8002 Inilah indonesia, punya prinsip. Menolak penjajahan dimuka bumi. Gak kayak fifa yg berstandar ganda, rusia disanksi karena invasi ukaraina, sementara israel aman2 saja. Pokok permasalahan sebenarrnya ada di fifa bukan indonesia",pelitaadv2302,,
43,2023-03-27 23:35:22+00:00,1640497774134444032,@GOAL_ID Lawannya peringkat FIFA di bawah indonesia 😀,katapekerti,,
44,2023-03-27 23:35:18+00:00,1640497757277540353,@Android_AK_47 Ya sudah..berjihad aja kau ke israel jgn berjihad ke FIFA,bronregarsdk,,
