No,Datetime,Tweet Id,Text,Username
20,2022-12-04 11:30:50+00:00,1599365609569288195,"Sitkom ini menggambarkan satu dari deretan pasal problematik dari RKUHP.

Yuk pahami pasal bermasalah dalam RKUHP! Unduh dan baca analisa masalah yang dihimpun oleh Aliansi Nasional Reformasi KUHP berjudul “Panduan Mudah #TibaTibaDipenjara” di tautan https://t.co/IGKIsCgtB3",LBH_Jakarta
21,2022-12-04 11:24:48+00:00,1599364089977147393,"Sitkom ini menggambarkan satu dari deretan pasal problematik dari RKUHP.

Yuk pahami pasal bermasalah dalam RKUHP! Unduh dan baca analisa masalah yang dihimpun oleh Aliansi Nasional Reformasi KUHP berjudul “Panduan Mudah #TibaTibaDipenjara” di tautan https://t.co/IGKIsCgtB3",LBH_Jakarta
22,2022-12-04 11:04:08+00:00,1599358889979695104,"Dieter Schaffmeister dalam salah satu kunjungannya ke Indonesia untuk ngasih penataran pernah rada-rada julid. “Setiap saya ke Indonesia, saya takjub banyak gedung baru. Cuma Indonesia belum punya KUHP Baru”, katanya. Ini orang-orang pidana masih pada inget Schaffmeister ga ya?😂",Sam_Ardi
23,2022-12-04 11:02:35+00:00,1599358497732562945,@themorningtide @RaniKancana__ Oh ya bedanya ama kuhp lama yg baru ga ada ketentuan dlm hubungan pernikahan seperti kuhp lama,tomahawkriders
24,2022-12-04 10:55:05+00:00,1599356610253533184,"Di dalamnya juga terdapat ketentuan yang mencabut beberapa pasal di dalam perundang-undangan. Misalnya UU ITE, (RUU) KUHP Baru mencabut ketentuan pasal 27 ayat 3 UU ITE yang gak jelas itu lho secara keilmuan. Sebagai seorang yang bukan Ahli ITE saya apresiasi hal ini.",Sam_Ardi
25,2022-12-04 10:52:27+00:00,1599355948879208449,"Kesusilaan datang saya maksud di sini sebagai contoh baru sama sekali dirumuskan dalam KUHP adalah masalah perzinaan, sebuah pasal yang terus muncul sejak zaman draft Tim Basaroeddin. Awalnya malah delik biasa. Berdasarkan perdebatan dan perjalanan yang panjang diubah delik aduan",Sam_Ardi
26,2022-12-04 10:48:42+00:00,1599355003457916929,@HelmiFelis_ Maksudnya gimana ?? RUU Ciptaker kok ngatur pidana ?? Bukannya kalau pidana ada di KUHP ??,rez1m_
27,2022-12-04 10:01:12+00:00,1599343049943187458,"@themorningtide @RaniKancana__ Di KUHP lama yg kena pasal adalah pasangan yg sudaj menikah dan yg berhak mengadukannya adalah suami/istri , anak atau orang tua

Saya blm liat pasal ini di RUU KUHP apa ada perubahan atau tidak",tomahawkriders
28,2022-12-04 09:35:47+00:00,1599336654120300550,@themorningtide @RaniKancana__ Di KUHP lama juga ada dalam bentuk delik aduan,tomahawkriders
29,2022-12-04 08:13:07+00:00,1599315850242428928,@Kemenkumham_RI Bapak/Ibu yg terhornat. Di mana masyarakat bisa download atau baca di website soal RUU KUHP versi yang paling aktual? Terima kasih. https://t.co/VRYYSxxvU2,ich_ayu
30,2022-12-04 07:46:35+00:00,1599309174269431808,"@cIaireece @sukasukaaguuee @tanyarlfes Anjing masuk kategori hewan buas. Jika anak kecil ketakutan, lumrah. Ada pasal 490 kuhp. Meski ga sampe gigit, tp agresi si anjing yg menyebabkan si bocah ketakutan hingga celaka, ente sbg pemilik anjing yg dilepas keliaran itu bisa dipidana",densatjo
31,2022-12-04 07:46:07+00:00,1599309056585641984,@gadingkelapa2 @__RismaWidiono_ perbuatan cabul sebagaimana diatur dalam Pasal 432 RUU KUHP merupakan delik biasa dan bukan delik aduan,ocongBoyy
32,2022-12-04 06:52:56+00:00,1599295673224278021,@kentangkalis @BuddhisGL @angelichris @taltalita sorry maksud gw illegal ya di aturan penyiaran (kpi). gw menghargai keberadaan LGBT kok bahkan ikut protes waktu Mahfud bikin pidana buat LGBT di RUU KUHP yg skrg. tp ya kalo kalian kampanye di sini berharap umat beragama ngubah kitab sucinya ya salah besar. apalagi ke anak kecil,akuntubirhehe
33,2022-12-04 06:43:29+00:00,1599293293657194497,@DR_Rosandhi @MafiaWasit Baca deh pasal pasal yang di dalam RUU KUHP https://t.co/IJcRgJLZX7,Traberaldi_23
34,2022-12-04 05:49:08+00:00,1599279618137427968,"@leviathan3rd @sosmedkeras Setuju juga sama pendapatmu, tapi kalo kelamaan &amp; kita masi pake kuhp peninggalan belanda apa bedanya
Tau sendiri kan kuhp peninggalan penjajah lebih parah",gasspontan
35,2022-12-04 05:37:51+00:00,1599276775951192065,@susno2g Maklum belajar KUHP yg diperdalam cuma pasal 86 tok.,mharfad354
36,2022-12-04 05:16:49+00:00,1599271483410644992,"@Temblog69 @sosmedkeras tanpa di atur di RKUHP yang baru, sebenernya mengenai larangan zina itu biasanya diatur melalui PERDA masing2 setiap daerah. Justru ketika diatur melalui KUHP (tertinggi) itu akn menggugurkan Hk lain dibawahnya.",keyopinionlead
37,2022-12-04 05:14:05+00:00,1599270795045658624,"@sosmedkeras Dri KUHP yg lama jg udh ada ini, tapi perihal suami istri yg zina sma org lain. Haduh baca dulu coba ihs kesel bat w lama lama, ini tuh delik aduannnn yaa ges yaaa, plis netizen baca dulu",saniapasti
38,2022-12-04 04:43:42+00:00,1599263150045822976,"@IfalAgustian @sosmedkeras itulah kenapa sambo ga bisa langsung disidang di pn jaksel, harus ada sidang kode etik dulu yang hasilnya dia dipecat dri institusi polri. baru setelah urusan kode etik selesai dia dilanjut sidang pidana umum merujuk dri kuhp",arcticnachtt
39,2022-12-04 04:43:04+00:00,1599262991521705988,"@AryoWib64061034 @metime234 RUU KUHP pokok nya aturan pemerintah itu konyol 
Hanya bikin susah rakyat 
Di bawah udh ada yg jelasin ya
Jdi gua rasa gak perlu berulang kali. Krna jawaban gua akan sama",Karinbahary2
40,2022-12-04 04:41:42+00:00,1599262647668858883,"@IfalAgustian @sosmedkeras aku jawab secara netral dri sudut pandang hukum, polisi itu ada yg namanya “kode etik”. dia tidak bisa dipidana secara umum (kuhp) sebelum melewati serangkaian sidang kode etik kepolisian. hasil mutasi polkis yg merkosa itu adalah kemungkinan besar putusan sidang kode etik.",arcticnachtt
41,2022-12-04 04:24:05+00:00,1599258213417123840,"@leviathan3rd @sosmedkeras Namanya juga produk manusia pasti ga ada yang sempurna, mending disahkan dulu nanti gampang revisi lagi biar ada kerjaan tuh legislatif, daripada pake kuhp peninggalan penjajah, tau sendiri kan",gasspontan
42,2022-12-04 04:22:17+00:00,1599257760818135040,"@leviathan3rd @sosmedkeras Kan udah aku bilang tadi ""memang ada beberapa redaksi yang kurang baik"" Nantinya kan bisa di evaluasi lagi, tapi mayoritas dari isi pasal ruu kuhp lebih baik daripada kuhp peninggalan belanda, belanda aja udah ga make kuhp itu",gasspontan
43,2022-12-04 04:10:44+00:00,1599254851908964353,@sekboss1 @paradoks__404 @ordinarypeo_0pl @wfebriiansyh @sosmedkeras di sini konteks perzinahannya menurut kuhp ya,noonanyajisung
44,2022-12-04 03:49:55+00:00,1599249615525597184,"@RaniKancana__ Itu masih keitung baru dibanding RUU KUHP . RUU KUHP justru buat ganti KUHP lama warisan belanda.

Saya ingat liat draft awalnya aja tingginya lebih 1 meter karena memuat 400 lebih pasal.",tomahawkriders
45,2022-12-04 03:46:36+00:00,1599248779898519553,@RaniKancana__ Gercep gimana mbak itu RUU KUHP udah dibahas 4 masa periode DPR yg bikin naskah awalnya aja jaman Yusril jadi mentri,tomahawkriders
46,2022-12-04 03:21:05+00:00,1599242358192996353,"@sosmedkeras RUU KUHP ini prodak dari anak bangsa, ini karya anak bangsa yang harus segera disahkan, perkara ada redaksi pasal yang bermasalah nanti bisa direvisi lagi.
Coba mahasiswa hukum sekali2 baca RUU KUHP dan analisis sendiri dengan ilmu hukumnya, pasti kebanyakan setuju dengan RUU ini",gasspontan
